,Tweet Count,Username,Text,Created At,Retweets,Likes
4680,4681,Leo🦁,program mbg blora dievaluasi bupati arief pikirkan dampak pedagang kantin sekolah,Thu Jan 16 04:31:10 +0000 2025,0,0
4681,4682,Ngatidjo Al Ngawuri,sing nduwe program sopo sing mbok kon nanggung beban sopo piye nek poro anggota dewan wae sing nyumbang penghasilan nggo program mbg ben kowe kabeh ketok ono gunane nggo rakyat,Thu Jan 16 04:28:36 +0000 2025,0,0
4682,4683,"Drs. Ir. Jokowidodo, Lb. MM. 🇲🇨",program mbg ngomong fulus,Thu Jan 16 04:25:00 +0000 2025,0,1
4683,4684,Media Indonesia,wakil ketua dpp pan saleh partaonan daulay menilai usulan pengalokasian dana zakat program makan bergizi gratis mbg dikaji didasarkan pendapat ulama dibahas hukumnya sisi agama,Thu Jan 16 04:25:00 +0000 2025,0,0
4684,4685,Identik,mendingan ketua dpd diam usulan gunanya menimbulkan polemik pro kontra program mbg janji politik prabowo kampanye pemilu wajar prabowo dituntut merealisasikan janji politiknya,Thu Jan 16 04:21:48 +0000 2025,0,0
4685,4686,magercat,sibuk koar zakat sukses program mbg bang,Thu Jan 16 04:20:35 +0000 2025,1,6
4686,4687,Azhar M. Faris,gimana anggaran buzzerp ditiadakan dialihkan keberlanjutan program mbg duit rakyat dipake bayar sekelompok pengangguran mendengungkan program² pemerintah menjijikan,Thu Jan 16 04:14:56 +0000 2025,0,1
4687,4688,Onorus chain,paksa pemerintah menghentikan program akal akalan mbg pintu korupsi neraka memanggang ruang hidup amp kehidupan rakyat jelata negeri ayolah bergerak berlambat lambat negeri diambang kehancuran,Thu Jan 16 04:12:13 +0000 2025,0,1
4688,4689,Radio Elshinta,ketua dpd sultan najamuddin mengusulkan dana zakat membiayai program makan bergizi gratis mbg memunculkan pro kontra masyarakat dpr merespon usulan talk anggota komisi viii dpr ri hidayat nur wahid streaming,Thu Jan 16 04:11:26 +0000 2025,0,1
4689,4690,Stanislaus J. Pinasthika,polisi tentara banser dikerahkan mbg apbn apbd zakat dikerahkan program mateng seurgent gizi indonesia coba effort pas covid kemarin,Thu Jan 16 04:10:54 +0000 2025,0,0
4690,4691,Youna,tumbal kebijakan program mbg,Thu Jan 16 04:10:42 +0000 2025,0,0
4691,4692,KinG_GP,hadehhh mak blas penanggung jwb mbg pantesan pd rame ngotot dana zakat dipakai program mbg rupa a melibatkan banserep nb emg doyan mkn gretong n porsi nya minimal x lipat dana zakat u ksh mkn tukang bubarin pengajian pmbenci islam,Thu Jan 16 04:09:22 +0000 2025,0,1
4692,4693,VOA Indonesia,kantin sekolah dilibatkan program mbg umpama makanan pemerintah dialihkan kantin diawasi pemerintah kepala smp negeri surabaya budi setyawan mengakui,Thu Jan 16 04:00:17 +0000 2025,0,0
